Product,Name,Rating,CommentHead,Comment
iphoneX,Flipkart Customer,5,Classy product,Thank you flikart and supercom net for the genuine deals...
iphoneX,Sunil Kumar,5,Worth every penny,Awsm camera ğŸ‘ğŸ»ğŸ‘ğŸ»
iphoneX,Flipkart Customer,5,Must buy!,Nice camera quality
iphoneX,Anku Kumar,5,Terrific,Nice phone
iphoneX,Nitesh Raikar,5,Mind-blowing purchase,Totally insane ğŸ˜ğŸ˜ğŸ˜
iphoneX,Sourav Kumar,4,Good choice,Awesome just like a Performance beast.Best ever OLED screen with Top notch Performance Backed by A11Bionic Chipset.Battery life is average.Supb daylight Shots On this
iphoneX,Dhinesh R,5,Highly recommended,Youâ€™re going to be an apple fan after this purchase.
iphoneX,Flipkart Customer,5,Highly recommended,Excellent phone
iphoneX,Flipkart Customer,5,Great product,this phone is only for iphone lovers
iphoneX,Flipkart Customer,5,Mind-blowing purchase,Loved to have it :) Great device.
iphoneX,No Name,No Rating,No Comment Heading,Loved to have it :) Great device.
